1682921226.829213,"3,0.077759,-0.067139,0.995972,0.488281,0.122070,-0.305176,9.655762,11.535645,-15.209961,"
1682921226.8512592,"13,0.079102,-0.067261,0.996338,0.549316,0.122070,-0.366211,9.655762,11.535645,-15.209961,"
1682921226.8752685,"13,0.079590,-0.068970,0.997314,0.427246,0.244141,-0.488281,9.277344,11.120605,-16.320801,"
1682921226.89671,"11,0.078247,-0.068237,0.996948,0.183105,0.061035,-0.488281,9.277344,11.120605,-16.320801,"
1682921226.9169972,"15,0.079346,-0.068115,0.994995,0.427246,0.122070,-0.366211,9.277344,11.120605,-16.320801,"
1682921226.9404116,"15,0.078369,-0.067627,0.995117,0.488281,0.244141,-0.488281,9.790039,11.071777,-15.600586,"
1682921226.9671104,"12,0.078857,-0.068115,0.996338,0.488281,0.183105,-0.366211,9.790039,11.071777,-15.600586,"
1682921226.987793,"8,0.079224,-0.067139,0.997192,0.488281,0.305176,-0.549316,9.802246,11.706543,-15.515137,"
1682921227.012478,"11,0.078857,-0.067627,0.996826,0.305176,0.305176,-0.427246,9.802246,11.706543,-15.515137,"
1682921227.0358567,"4,0.078369,-0.067261,0.996582,0.244141,0.183105,-0.488281,9.802246,11.706543,-15.515137,"
1682921227.056007,"6,0.078247,-0.066772,0.995483,0.549316,0.122070,-0.427246,9.802246,11.706543,-15.515137,"
1682921227.0764012,"15,0.078613,-0.067383,0.996094,0.488281,0.183105,-0.366211,9.729004,11.376953,-16.296387,"
1682921227.1005685,"12,0.077881,-0.067505,0.998413,0.427246,0.061035,-0.488281,9.729004,11.376953,-16.296387,"
1682921227.1235664,"7,0.078979,-0.067871,0.997559,0.427246,0.122070,-0.488281,9.729004,11.376953,-16.296387,"
1682921227.1463923,"15,0.079956,-0.067627,0.998291,0.366211,0.122070,-0.427246,10.131836,10.754395,-16.259766,"
1682921227.1705244,"15,0.078369,-0.068237,0.996460,0.488281,0.183105,-0.366211,10.131836,10.754395,-16.259766,"
1682921227.194002,"12,0.078369,-0.067505,0.996338,0.366211,0.183105,-0.549316,10.131836,10.754395,-16.259766,"
1682921227.21738,"8,0.078247,-0.067993,0.996216,0.183105,15.502930,-0.488281,9.338379,11.010742,-15.661621,"
1682921227.2381635,"13,0.078613,-0.067749,0.998047,0.244141,0.183105,-0.488281,9.338379,11.010742,-15.661621,"
1682921227.2619166,"13,0.078979,-0.067261,0.998047,0.366211,0.305176,-0.366211,9.338379,11.010742,-15.661621,"
1682921227.2845497,"7,0.078857,-0.066284,0.997925,0.305176,0.061035,-0.427246,9.338379,11.010742,-15.661621,"
1682921227.3014395,"12,0.078735,-0.066772,0.996948,0.427246,0.122070,-0.488281,9.643555,10.839844,-15.783691,"
1682921227.3215728,"6,0.078003,-0.067261,0.996826,0.488281,0.061035,-0.488281,9.643555,10.839844,-15.783691,"
1682921227.3425534,"0,0.078369,-0.066528,0.998535,0.244141,0.183105,-0.427246,9.643555,10.839844,-15.783691,"
1682921227.362789,"14,0.078735,-0.067261,0.997437,0.366211,0.244141,-0.488281,9.545898,10.852051,-16.235352,"
1682921227.3831916,"6,0.079590,-0.066528,0.997437,0.366211,0.061035,-0.366211,9.545898,10.852051,-16.235352,"
1682921227.402954,"4,0.078979,-0.066528,0.998291,0.488281,0.305176,-0.366211,9.631348,11.157227,-16.113281,"
1682921227.4230666,"4,0.078735,-0.067627,0.996582,0.427246,0.244141,-0.488281,9.631348,11.157227,-16.113281,"
1682921227.4531574,"9,0.078369,-0.067139,0.997314,0.305176,0.305176,-0.366211,9.631348,11.157227,-16.113281,"
1682921227.484176,"14,0.078369,-0.067139,0.998291,0.427246,0.000000,-0.427246,9.631348,11.157227,-16.113281,"
1682921227.5120492,"15,0.079712,-0.068848,0.999878,0.488281,0.244141,-0.427246,9.191895,10.827637,-15.917969,"
1682921227.5392163,"13,0.078247,-0.067871,0.998291,0.305176,0.061035,-0.488281,9.191895,10.827637,-15.917969,"
1682921227.5651085,"13,0.077759,-0.067017,0.997314,0.366211,0.122070,-0.366211,9.313965,10.791016,-15.612793,"
1682921227.5898864,"9,0.077759,-0.067017,0.997437,0.244141,0.183105,-0.488281,9.313965,10.791016,-15.612793,"
1682921227.6094098,"2,0.078979,-0.066528,0.998047,0.244141,0.183105,-0.488281,9.313965,10.791016,-15.612793,"
1682921227.6327655,"11,0.079102,-0.068359,0.999390,0.305176,0.183105,-0.183105,9.313965,10.791016,-15.612793,"
1682921227.656943,"8,0.079102,-0.068237,0.998413,0.305176,0.183105,-0.427246,9.436035,11.120605,-16.223145,"
1682921227.6844363,"13,0.079346,-0.067261,0.998779,0.427246,0.122070,-0.488281,9.436035,11.120605,-16.223145,"
1682921227.7114823,"13,0.078247,-0.067871,0.997437,0.488281,0.122070,-0.366211,9.436035,11.120605,-16.223145,"
1682921227.7313285,"6,0.077637,-0.067749,0.998535,0.488281,0.183105,-0.488281,9.863281,11.450195,-15.905762,"
1682921227.754433,"5,0.078857,-0.066895,1.000122,0.427246,0.061035,-0.305176,9.863281,11.450195,-15.905762,"
1682921227.7797682,"9,0.078003,-0.067383,0.999634,0.488281,0.061035,-0.366211,9.863281,11.450195,-15.905762,"
1682921227.7947657,"6,0.078491,-0.067505,0.999268,0.305176,0.000000,-0.549316,9.582520,11.022949,-16.552734,"
